date,Resident Population,state,msa,city
2000-01-01,18352.743,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-01-01,18490.029,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-01-01,18590.085,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-01-01,18671.32,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-01-01,18747.431,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-01-01,18798.114,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-01-01,18825.633,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-01-01,18901.167,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-01-01,18968.501,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-01-01,19069.796,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-01-01,18923.437,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-01-01,19053.124,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-01-01,19150.453,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-01-01,19227.457,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-01-01,19282.138,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2015-01-01,19322.239,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-01-01,19336.456,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-01-01,19325.115,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-01-01,19289.42,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-01-01,19232.494,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-01-01,19124.359,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-01-01,12838.023,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-01-01,12923.899,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-01-01,13010.104,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-01-01,13092.451,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-01-01,13159.972,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2015-01-01,13226.215,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2016-01-01,13259.142,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2017-01-01,13266.524,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2018-01-01,13237.112,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2019-01-01,13182.453,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2020-01-01,13109.903,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-01-01,12398.95,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-01-01,12525.736,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-01-01,12634.977,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-01-01,12717.433,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-01-01,12764.59,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-01-01,12761.175,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-01-01,12713.66,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-01-01,12692.603,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-01-01,12768.395,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-01-01,12874.797,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-01-01,9117.732,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2001-01-01,9192.501,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2002-01-01,9245.135,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2003-01-01,9286.162,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2004-01-01,9332.09,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2005-01-01,9362.08,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2006-01-01,9398.855,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2007-01-01,9451.936,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2008-01-01,9515.636,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2009-01-01,9580.567,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2010-01-01,9470.661,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2011-01-01,9500.919,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2012-01-01,9528.134,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2013-01-01,9550.227,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2014-01-01,9560.285,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2015-01-01,9552.351,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2016-01-01,9533.732,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-01-01,9513.947,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-01-01,9485.403,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-01-01,9454.282,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-01-01,9406.638,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2000-01-01,5196.188,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2001-01-01,5354.623,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2002-01-01,5476.578,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2003-01-01,5582.033,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2004-01-01,5689.982,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
