date,Unemployment Rate,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,9.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1990-02-01,8.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1990-03-01,6.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1990-04-01,6.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1990-05-01,5.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1990-06-01,5.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1990-07-01,7.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1990-08-01,5.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1990-09-01,5.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1990-10-01,6.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1990-11-01,7.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1990-12-01,7.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1991-01-01,9.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1991-02-01,10.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1991-03-01,9.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1991-04-01,8.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1991-05-01,7.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1991-06-01,7.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1991-07-01,8.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1991-08-01,6.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1991-09-01,6.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1991-10-01,6.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1991-11-01,8.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
