,msa
0,"New York-Newark-Jersey City, NY-NJ-PA"
1,"Dallas-Fort Worth-Arlington, TX"
2,"Houston-The Woodlands-Sugar Land, TX"
3,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
4,"Atlanta-Sandy Springs-Alpharetta, GA"
5,"New Orleans-Metairie, LA"
6,"Birmingham-Hoover, AL"
7,"Tulsa, OK"
8,"Kansas City, MO-KS"
9,"Albuquerque, NM"
10,"Wichita, KS"
11,"Colorado Springs, CO"
12,"Oxnard-Thousand Oaks-Ventura, CA"
13,"Madison, WI"
14,"Lancaster, PA"
15,"York-Hanover, PA"
16,"Reno, NV"
17,"Reading, PA"
18,"Beaumont-Port Arthur, TX"
19,"Fort Wayne, IN"
20,"Topeka, KS"
21,"Lynchburg, VA"
22,"Olympia-Lacey-Tumwater, WA"
23,"Crestview-Fort Walton Beach-Destin, FL"
24,"Charleston, WV"
25,"Johnstown, PA"
26,"Grand Forks, ND-MN"
27,"Wichita Falls, TX"
28,"Morristown, TN"
29,"Panama City, FL"
