,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,group_popularity,notes,msa,city,state,clean_title
298,ACTLISCOU13820,2021-12-08,2021-12-08,"Housing Inventory: Active Listing Count in Birmingham-Hoover, AL (CBSA)",2016-07-01,2021-11-01,Monthly,M,Level,Level,Not Seasonally Adjusted,NSA,2021-12-06 18:38:06-06,1.0,1.0,The count of active single-family and condo/townhome listings for a given market during the specified month (excludes pending listings).,"Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: Active Listing Count
299,ACTLISCOUMM13820,2021-12-08,2021-12-08,"Housing Inventory: Active Listing Count Month-Over-Month in Birmingham-Hoover, AL (CBSA)",2017-07-01,2021-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-06 18:37:00-06,1.0,1.0,The count of active single-family and condo/townhome listings for a given market during the specified month (excludes pending listings).,"Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: Active Listing Count Month-Over-Month
300,ACTLISCOUYY13820,2021-12-08,2021-12-08,"Housing Inventory: Active Listing Count Year-Over-Year in Birmingham-Hoover, AL (CBSA)",2017-07-01,2021-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-06 18:35:48-06,1.0,1.0,The count of active single-family and condo/townhome listings for a given market during the specified month (excludes pending listings).,"Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: Active Listing Count Year-Over-Year
302,AVELISPRI13820,2021-12-08,2021-12-08,"Housing Inventory: Average Listing Price in Birmingham-Hoover, AL (CBSA)",2016-07-01,2021-11-01,Monthly,M,U.S. Dollars,U.S. $,Not Seasonally Adjusted,NSA,2021-12-06 18:35:37-06,1.0,1.0,The average listing price in a given market during the specified month.,"Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: Average Listing Price
303,AVELISPRIMM13820,2021-12-08,2021-12-08,"Housing Inventory: Average Listing Price Month-Over-Month in Birmingham-Hoover, AL (CBSA)",2017-07-01,2021-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-06 18:36:42-06,1.0,1.0,The average listing price in a given market during the specified month.,"Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: Average Listing Price Month-Over-Month
304,AVELISPRIYY13820,2021-12-08,2021-12-08,"Housing Inventory: Average Listing Price Year-Over-Year in Birmingham-Hoover, AL (CBSA)",2017-07-01,2021-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-06 18:34:32-06,1.0,1.0,The average listing price in a given market during the specified month.,"Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: Average Listing Price Year-Over-Year
310,BIRM801EDUH,2021-12-08,2021-12-08,"All Employees: Education and Health Services in Birmingham-Hoover, AL (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2021-11-19 16:57:16-06,1.0,1.0,"The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodel' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodel' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/srd/www/x13as/).

Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. Occasionally, updates to the data will not include sufficient seasonal factors to trigger a seasonal adjustment. In these cases, the NSA series will be updated normally; but the SA series will also be updated with the NSA data. The NSA series can be located here here (https://fred.stlouisfed.org/series/BIRM801EDUHN).

Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator.","Birmingham-Hoover, AL",Birmingham,AL,All Employees: Education and Health Services
311,BIRM801EDUHN,2021-12-08,2021-12-08,"All Employees: Education and Health Services in Birmingham-Hoover, AL (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2021-11-19 15:41:21-06,1.0,1.0,,"Birmingham-Hoover, AL",Birmingham,AL,All Employees: Education and Health Services
312,BIRM801FIRE,2021-12-08,2021-12-08,"All Employees: Financial Activities in Birmingham-Hoover, AL (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2021-11-19 16:57:16-06,1.0,1.0,"The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodel' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodel' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/srd/www/x13as/).

Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. Occasionally, updates to the data will not include sufficient seasonal factors to trigger a seasonal adjustment. In these cases, the NSA series will be updated normally; but the SA series will also be updated with the NSA data. The NSA series can be located here here (https://fred.stlouisfed.org/series/BIRM801FIREN).

Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator.","Birmingham-Hoover, AL",Birmingham,AL,All Employees: Financial Activities
313,BIRM801FIREN,2021-12-08,2021-12-08,"All Employees: Financial Activities in Birmingham-Hoover, AL (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2021-11-19 15:41:21-06,1.0,1.0,,"Birmingham-Hoover, AL",Birmingham,AL,All Employees: Financial Activities
